<title>曉坐次屛上韻 十四歲作○戊子</title>,<text>鷄聲處處起。曉色分遠樹。片月半銜城。春雲忽欲雨。</text>
<title>臨津舟中次兒輩韻 二首</title>,<text>輕舟初放午潮多。白髮歸人扣枻歌。一帆欲借西風力。直到東湖弄碧波。江上相逢喜色多。歸來一曲和漁歌。蒼杉翠壁空依舊。花石亭前不盡波。</text>
<title>余解瑞興纔浹旬。奭周除成川。賦送赴任之行。三首</title>,<text>我纔隴右解符回。汝又成都佩印來。雨露偏多如擇地。此行何以答涓埃。成都雄府屬分憂。形勝關西第一州。江山樓閣那堪問。聞道蒼生困旱愁。迢迢千里漲炎塵。惆悵西風送畫輪。願瀉沸流江上水。隨車作雨慰斯民。</text>
<title>閒居偶成 用竹裏行廚律</title>,<text>老夫多病晝關扉。馬走車奔客到稀。當戶獨松含偃蹇。盈庭雜卉妬芳菲。百變浮雲無定態。半輪明月有常輝。蓬山巫峽添勞想。一片心隨兩地飛。</text>
<title>雨後齋洞小憩信筆</title>,<text>芬華那足供幽歡。每到高軒意百端。隴菊穠花雲錦剪。石榴朱實火毬團。雨過棊局留佳客。風入琴窓對遠巒。壁上圖書生細霧。昏眸頻拭强爲看。</text>
<title>拜渼湖先生墓</title>,<text>渼上摳衣四十春。春風坐了宛如晨。蒼蒼松柏重攀地。已作靑龍百丈身。</text>
<title>斗峽舟中</title>,<text>斜日輕舟上瀨時。西風無力纜牽遲。長江穿峽波聲壯。斷岸經霖石勢危。遠樹似烟天際出。孤村如畫鏡中移。此行恨未携吾友。悄倚高檣漫賦詩。</text>
<title>拜外舅墓</title>,<text>日暮空山裏。鳥啼聲自悲。秋風吹客淚。那得九原知。</text>
<title>舟入觀風閣 以下三首。原州作。</title>,<text>水中樓閣鏡中開。琪樹秋光鼇背催。採藥塢前牽纜去。昇仙橋畔棹舟廻。玉簫宛轉玄蟬過。羽袂蹁躚白鶴來。海嶽淸風觀不盡。金丹消息接蓬萊。</text>
<title>口號呈伯氏 二首</title>,<text>三年離阻九宵同。團樂融融自不窮。今朝又作分張計。窓外蕭蕭雨打風。含情不語下堂來。足幾躊躇首幾回。降仙樓上明春約。願使羲和日馭催。</text>
<title>出峽到渼湖</title>,<text>峽盡江平兩岸孤。雲烟渺闊似荊吳。林端指點先生宅。萬頃澄波是渼湖。</text>
<title>記見 二首</title>,<text>秋日晶晶秋氣淸。臥聽江上櫂歌聲。水碧山靑三十里。孤飛白鷺自分明。旗脚橫江十里連。西風鼓角響遙天。篷窓隱映官人坐。云是湖西載稅船。</text>
<title>記懷</title>,<text>身臥篷窓淸漢隈。蓬萊閣上夢魂廻。三日離懷堪不得。寒波羡自鶴城來。</text>
<title>呼韻共賦</title>,<text>江湖歸計一樽深。百感蕭蕭歲暮心。鬢邊短髮千莖白。不復城南梁甫吟。</text>
<title>雜詠 押韻外。禁用一韻二字。又禁用入聲字。</title>,<text>山氣終南擁暝烟。鐘催人散坐蕭然。夜歸虛檻翻蟾影。雲覆層甍穩鳥眠。時取煖茶吟老病。久無佳句送殘年。停觴緬想幽棲地。江外高帆望裏懸。</text>
<title>效康節首尾吟 壬申</title>,<text>睡翁非是愛吟詩。詩是睡翁啜茗時。窓外餘寒殘雪在。枕邊酣夢早春知。爐烟裊裊雲生細。燈影依依月轉遲。解渴三更襟欲豁。睡翁非是愛吟詩。</text>
<title>漁父詞 四首</title>,<text>桃花細浪一竿淸。眠鷺游魚共忘情。畫裏坐鏡中行。無事長年樂此生。淺水澄波小棹輕。朦朧睡裏釣竿橫。風颯颯月盈盈。一船風月不勝淸。坐睡磯頭老釣翁。蘆花如雪蓼花紅。醉明月灑長風。心胷雲水一般空。綠水靑山醉夢間。鵁鶄鷗鷺俱歡顔。蘆花裏楓岸邊。小舟同載老妻還。</text>
<title>閒居集陶 六首</title>,<text>吾亦愛吾廬。讀山海經。 守拙歸園田。歸園田居。 春秋多佳日。移居第二。 虛室有餘閒。歸園田居。 窮巷寡輪鞅。歸園田居第二。 飛鳥相與還。飮酒第五。 登高賦新詩。移居第二。 悠然見南山。飮酒第五。故人賞我趣。飮酒第十四。 林園無俗情。辛丑歲七月。赴假還江陵。 日入相與歸。癸卯歲始春。懷古田舍第二。 夜景湛虛明。辛丑歲七月。赴假還江陵。 揮觴道平素。詠二疏。 淸歌散新聲。諸人共游周家墓柏下。 但使願無違。歸園田居第三。 聊復得此生。飮酒第七。日月擲人去。雜詩第二。 盛衰不可量。雜詩第三。 遙遙望白雲。和郭主簿。 平原獨茫茫。擬古第四。 欲言無予和。雜詩第二。 且當從綺黃。飮酒第六。 紫芝誰復採。贈羊長史。 食之壽命長。讀山海經第四。 日夕歡相持。飮酒。 萬歲如平常。讀山海經第八。 何以稱我情。己酉歲九月九日。 且爲陶一觴。雜詩第八。息交游閒業。和郭主簿。 正賴古人書。贈羊長史。 晨夕看山川。乙巳歲三月。經錢溪。 挈杖還西廬。和劉柴桑。 起晩眠常早。雜詩第四。 過此奚所須。和劉柴桑。 隣曲時時來。移居。 爲我少躊躇。贈羊長史。 相見無雜言。歸園田居第二。 君情定何如。擬古第三。野外罕人事。歸園田居第二。 良日登遠遊。酬劉柴桑。 朝霞開宿霧。詠貧士。 閒谷矯鳴鷗。游斜川。 靜念園林好。庚子歲五月阻風第二。 迢迢百尺樓。擬古第四。 行止千萬端。飮酒第六。 終懷在歸舟。乙巳歲三月經錢溪。 欣然方彈琴。詠貧士第三。 班坐依遠流。游斜川。 放意樂餘年。詠二疏。 忘彼千載憂。游斜川。遙遙春夜長。雜詩第十一。 昭昭天宇闊。辛丑歲七月。赴假還江陵。 亭亭月將圓。戊申歲六月中遇火。 在目皓已潔。癸卯十二月。與從弟敬遠。 長吟掩柴門。癸卯歲始春。懷古田舍第二。 邈與世相絶。癸卯十二月。與從弟敬遠。 日月依辰至。九日閑居。 天地長不沒。形贈影。 白髮一已繁。歲暮。和張常侍。 我無騰化術。形贈影。 臥起弄書琴。和郭主簿。 衛生每若拙。影答形。 歡言酌春酒。讀山海經。 汎此忘憂物。飮酒第七。 方與三辰游。讀山海經第八。 千載撫爾訣。和郭主簿第二。</text>
<title>書齋夏日共賦</title>,<text>綠槐紅藥滿庭臺。五月芳菲照眼開。何處孤鶯花底語。有時雙蝶草頭來。棋情自見紛紛局。酒氣猶存淺淺杯。落日捲簾蒼翠入。南山晩色政佳哉。</text>
<title>聯句</title>,<text>立秋苦熱尙三庚。却憶潭樓分外淸。睡堂。 細雨和烟看不辨。輕風入箔聽無聲。壽閤。 投壺病裏猶高興。棋局閑中更忘情。睡堂。 終日床頭相對坐。秖將白髮話平生。壽閤。</text>
<title>偶吟</title>,<text>新秋宜病客。兀兀坐高堂。明漢橫天淨。孤雲傍月凉。桂漿香噴椀。竹瀝澹盈觴。相對慵眠好。良宵不厭長。</text>
<title>自遣</title>,<text>地僻隣南郭。門深掩翠屛。主人苦多病。貴客不曾經。白髮江湖話。丹書草木形。三官還摠廢。花鳥許看聽。</text>
<title>曉坐 二首</title>,<text>蛩語秋期近。蟬聲暑氣空。城中晴少雨。木末晩多風。頻作江湖夢。苦吟衰病翁。雲樓勞悵望。巖桂長新叢。相守書齋裏。疎燈照不空。碧江百年約。白髮兩心通。淸操懷梁婦。狂歌笑楚翁。遙看三徑晩。留待菊花叢。</text>
<title>次仲兒韻</title>,<text>病骨先知爽。秋聲早入聞。昏眸惜雲鴈。聾耳厭雷蚊。耿耿燈相對。寥寥夜正分。坐忘機已息。不復問昭文。</text>
<title>次表民寄示軸中韻 三首</title>,<text>心憂不可除。身病寧難醫。寂寂採芝草。迢迢攀桂枝。吟詩孤月處。調藥五更時。秋露能霑物。庭松晩翠滋。一雨蘇羣品。神功却勝醫。枯苗抽晩穗。腐草吐新枝。瑞色濛濛處。欣聲颯颯時。東湖懷掛颿。秋水亦應滋。百年塵事不相侵。經濟慇懃在澗林。啼鳥游魚吾忘爾。停雲流水古猶今。一官莫道堪容隱。三徑秖應好去尋。病骨秋風頻攪睡。新湖淸月待歸吟。</text>
<title>疊文字</title>,<text>窮居雙鬢白。俗事不堪聞。萬戶爭腥狗。千林吮血蚊。彷徨無處去。奔走幾歧分。終復歸吾室。唐虞有古文。</text>
<title>次仲兒韻 三首</title>,<text>欲訪東湖約。蘆花已報秋。散愁得平野。蘇病有淸流。卜築隣漁戶。呼僮理釣鉤。滄江歌不竟。千載憶前脩。風高南郭夜。露冷北園秋。孤鴈衝珠斗。寒蟾吐玉鉤。臥看燈影在。坐聽漏聲流。白首塵緣重。滄洲路阻脩。秋天晴不雨。雲氣出南峰。未作蕭蕭響。徒爲漠漠容。穿林忙小蝶。栖草濕寒蛩。睡起窓光白。還將好月逢。</text>
<title>次韻</title>,<text>靑春如夢寐。頹臥一衰翁。見道寧嫌兀。忘形不害聾。童心難盡化。壯志未全空。何處開襟抱。褰帷欲灑風。</text>
<title>次歸去來辭 瑞興臨歸作</title>,<text>歸去來兮。五載淹留胡不歸。徒縻厚祿以溫飽。瞻蔀屋而心悲。聆武絃而已邈。拊單琴而莫追。庭有訟而撻人。恨初心之日非。鑑鬢星而忽驚。夙言駕而拂衣。辭隴水之㶁㶁。望南山之翠微。一鞭東指。車輕馬奔。家住鳳城。身隱鹿門。地僻事罕。我樂所存。晝永琴窓。宵靜茶樽。兒孫趍而羣笑。翁媼對而歡顔。酌石泉而神淸。枕江流而夢安。秋鶴唳而寥亮。春鸎啼而間關。欣松桂之幽賞。悅圖書之游觀。况淸風與明月。朝復夕而往還。望靑天而長嘯。共雲影而盤桓。歸去來兮。侶漁樵而遨遊。旣知足而知止。且不忮而不求。願與世而相忘。樂莫樂乎何憂。託此晩契以永好。捨魚鳥而其疇。潭上有廬。漢濱有舟。謝浮名於城市。寄浪跡於林邱。日如年於靜裏。駐光陰之迅流。山蒼蒼而不改。川混混而莫休。已矣乎。神農虞夏曾幾時。古來萬事皆如此。胡爲乎獨立歎息之。往者不可追。來者不可期。不敢度乎轍環。甘沮溺之躬耔。被薜蘿之舊服。咏蒹葭之遺詩。信自知之昭昭。焉用龜蓍以决疑。</text>
